Number of recorded male TB cases by age (15-19, ..., 90+) and year 												
1252	1088	1156	1174	1339	1338	1203	1188	1132	1173	1149	1168	955
2258	2297	2344	2451	2435	2484	2398	2238	2246	2322	2355	2221	1941
3004	3019	3185	3348	3538	3661	3696	3477	3380	3348	3494	3343	3041
3637	3679	3899	4363	4632	4368	4388	4155	4018	4039	4227	3943	3826
3332	3538	3614	4141	4390	4501	4430	4285	3972	3869	4017	3762	3493
3323	3243	3405	3593	3758	3759	3751	3592	3332	3382	3471	3134	2967
2428	2803	3040	3250	3616	3462	3255	3082	2741	2625	2700	2579	2189
1902	1935	2078	2272	2676	2699	2719	2631	2474	2416	2653	2335	1924
1191	1390	1426	1711	2036	1934	1897	1885	1732	1827	1898	1869	1685
1036	941	944	1089	1275	1286	1300	1391	1330	1270	1347	1348	1219
595	768	781	930	1129	1037	834	900	813	852	861	865	794
381	369	360	413	591	532	696	749	726	688	680	514	471
195	212	252	276	349	390	357	357	360	302	314	422	396
93	83	74	125	171	199	194	219	234	222	214	173	177
43	37	55	63	87	64	64	79	81	83	88	99	91
21	14	13	14	26	25	26	30	34	46	39	44	40
Number of recorded female TB cases by age (15-19, ..., 90+) and year 												
1658	1587	1620	1743	1952	1945	1807	1653	1454	1405	1340	1324	1053
2991	2969	3222	3508	3770	3659	3580	3283	2982	2631	2760	2219	1981
3002	3306	3761	4229	4695	4786	4456	4215	3787	3494	3241	2729	2361
2772	3099	3388	3911	4397	4397	4019	3920	3467	3286	3110	2722	2317
2122	2345	2675	3220	3511	3565	3355	3309	2933	2627	2549	2183	1893
1835	1768	2202	2408	2739	2644	2517	2370	2206	2115	2096	1760	1614
1232	1377	1589	1831	2275	2265	2028	1962	1746	1593	1600	1457	1250
990	1058	1128	1274	1656	1732	1542	1543	1501	1445	1432	1249	1145
640	675	769	998	1226	1313	1143	1284	1083	1021	1075	1053	946
806	707	682	876	1035	1015	981	932	882	895	943	792	698
441	527	586	718	952	880	675	701	638	652	615	597	579
350	320	375	410	592	562	645	719	665	682	631	559	449
154	174	233	312	377	420	371	460	379	373	409	473	434
108	86	95	129	224	224	242	316	326	303	330	331	283
33	54	49	85	89	118	82	116	100	116	136	187	174
13	15	19	21	51	63	40	60	62	70	62	96	79
Recorded proportions dead, in males and females (15+), by year												
0.085699243	0.10827825	0.124389694	0.122958957	0.126092112	0.132518353	0.123141502	0.12006742	0.117811571	0.101004778	0.080218253	0.074445523	0.069340315
0.098292161	0.118154183	0.127048631	0.119035563	0.120984395	0.125050696	0.115889823	0.11053161	0.113873859	0.096089484	0.082404049	0.069231159	0.064557255
HIV prevalence in adult TB patients, 2009-2016												
0	0.62427987	0.58182605	0.57652705	0.54824903	0.52435454	0.50797907	0.5214946					
