Number of recorded male TB cases by age (15-19, ..., 90+) and year 												
279	335	342	324	324	355	356	307	297	288	262	242	253
732	794	751	801	712	833	774	690	634	643	549	499	457
1104	1280	1240	1409	1361	1506	1524	1356	1255	1246	1142	1057	886
1645	1828	1899	2110	2067	2316	2183	1883	1816	1921	1852	1538	1451
1670	2158	2053	2190	2381	2584	2443	2326	2142	2110	1956	1903	1564
1644	2096	2181	2154	2282	2420	2256	2149	1950	1882	1860	1679	1523
1270	1774	1748	1881	1955	2149	2004	1940	1693	1615	1575	1487	1264
826	1090	1158	1286	1437	1490	1543	1479	1300	1306	1289	1272	1107
476	636	644	684	811	934	1016	972	892	923	892	923	793
253	298	361	405	405	452	512	505	471	429	516	493	400
93	158	175	184	220	290	284	281	212	228	250	239	216
59	105	95	105	112	145	151	139	140	135	150	154	139
25	50	52	48	65	82	86	81	59	68	84	79	72
15	24	21	28	31	58	38	43	36	36	41	39	37
6	9	12	17	15	14	25	29	9	11	22	18	15
0	1	6	5	2	10	8	7	9	8	10	8	5
Number of recorded female TB cases by age (15-19, ..., 90+) and year 												
466	546	532	545	532	595	526	532	432	417	386	361	325
1116	1339	1251	1186	1199	1248	1279	1116	964	853	810	745	560
1351	1680	1574	1608	1742	1858	1869	1622	1365	1298	1255	1049	854
1324	1744	1777	1739	1857	1932	1882	1710	1384	1398	1407	1155	940
900	1366	1357	1434	1519	1680	1697	1527	1318	1213	1180	1067	847
783	997	1130	1095	1159	1221	1234	1159	990	1045	1037	850	723
478	687	724	727	851	920	935	923	757	776	695	633	490
279	430	493	496	524	618	681	610	539	525	597	492	392
172	274	299	317	334	434	441	437	371	375	354	311	310
108	141	188	188	210	222	273	248	197	221	231	237	202
40	90	96	92	130	148	140	126	122	126	144	138	111
41	55	50	44	56	87	113	118	99	97	81	79	75
13	33	24	27	35	55	65	57	53	49	42	44	32
11	16	8	21	16	23	20	38	24	33	29	25	22
4	10	6	5	12	12	15	16	20	9	16	18	8
1	1	2	0	7	9	4	6	4	4	6	4	7
Recorded proportions dead, in males and females (15+), by year												
0.094780628	0.090534979	0.096011933	0.101826719	0.107545839	0.122841796	0.126882852	0.123563826	0.127138986	0.108257452	0.112048193	0.111521926	0.105185622
0.108931847	0.103943033	0.110398486	0.111297774	0.116075813	0.137859338	0.14506891	0.125036603	0.136705637	0.119800924	0.106771463	0.114594895	0.113258732
HIV prevalence in adult TB patients, 2009-2016												
0.728575573	0.734410417	0.717190736	0.706840391	0.689926731	0.689497257	0.683599978	0.675384615					
