Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.01128	0.00665
0.01256	0.00774
0.01396	0.00898
0.01549	0.01039
0.01715	0.01199
0.01895	0.01379
0.0209	0.01581
0.023	0.01808
0.02527	0.02061
0.0277	0.02342
0.03031	0.02653
0.0331	0.02996
0.03607	0.03372
0.03924	0.03784
0.04259	0.04233
0.04613	0.0472
0.04987	0.05245
0.05381	0.05811
0.05794	0.06416
0.06225	0.07061
0.06676	0.07746
0.07144	0.0847
0.0763	0.09231
0.08133	0.10028
0.08652	0.10858
0.09185	0.1172
0.09732	0.12609
0.10291	0.13522
0.10861	0.14457
0.1144	0.15407
0.12027	0.16371
0.12619	0.17342
0.13216	0.18316
0.13815	0.19288
0.14415	0.20255
0.15013	0.2121
0.15607	0.2215
0.16196	0.23069
0.16778	0.23965
0.1735	0.24831
0.17912	0.25665
0.1846	0.26463
0.18993	0.27221
0.1951	0.27937
0.20009	0.28607
0.20488	0.29228
0.20945	0.298
0.21379	0.30318
0.2179	0.30782
0.22175	0.31191
0.22533	0.31542
0.22863	0.31834
0.23165	0.32067
0.23437	0.3224
0.23679	0.32353
0.2389	0.32404
0.24069	0.32395
0.24217	0.32324
0.24331	0.32193
0.24413	0.32001
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
0.24461	0.31749
Prevalence of current smoking	
0.18467	0.03821
0.20474	0.04058
0.22519	0.04302
0.24579	0.04552
0.26634	0.04808
0.28663	0.05069
0.30648	0.05334
0.32572	0.05603
0.34421	0.05874
0.36182	0.06147
0.37846	0.06421
0.39406	0.06696
0.40857	0.06969
0.42194	0.07241
0.43417	0.0751
0.44524	0.07775
0.45515	0.08036
0.46393	0.0829
0.47159	0.08538
0.47816	0.08778
0.48367	0.0901
0.48815	0.09232
0.49162	0.09443
0.49414	0.09643
0.49573	0.09831
0.49642	0.10006
0.49626	0.10167
0.49528	0.10314
0.49352	0.10446
0.49101	0.10562
0.48779	0.10663
0.4839	0.10747
0.47937	0.10814
0.47424	0.10864
0.46855	0.10897
0.46234	0.10912
0.45565	0.1091
0.44852	0.1089
0.441	0.10853
0.43312	0.10799
0.42493	0.10728
0.41648	0.1064
0.4078	0.10536
0.39895	0.10416
0.38996	0.1028
0.38089	0.1013
0.37178	0.09965
0.36266	0.09787
0.35358	0.09596
0.34458	0.09393
0.3357	0.09179
0.32697	0.08955
0.31843	0.08721
0.31011	0.08479
0.30204	0.0823
0.29425	0.07973
0.28676	0.07712
0.27959	0.07446
0.27277	0.07176
0.26631	0.06904
0.26024	0.0663
0.25456	0.06356
0.2493	0.06081
0.24446	0.05809
0.24006	0.05538
0.2361	0.0527
0.23261	0.05006
0.2296	0.04746
0.22707	0.04492
0.22505	0.04243
0.22354	0.04
0.22257	0.03765
0.22215	0.03536
0.22232	0.03315
0.22309	0.03102
0.22449	0.02897
Prevalence of low BMI	
0.3039	0.12195
0.26437	0.10618
0.23048	0.09283
0.20168	0.08153
0.17735	0.07196
0.15688	0.06384
0.13969	0.05693
0.12527	0.05105
0.11318	0.04601
0.10303	0.0417
0.09452	0.038
0.08738	0.03482
0.08141	0.03207
0.07641	0.02969
0.07225	0.02763
0.0688	0.02584
0.06598	0.02429
0.0637	0.02294
0.06189	0.02177
0.0605	0.02076
0.05949	0.01988
0.05882	0.01912
0.05847	0.01847
0.05841	0.01791
0.05861	0.01744
0.05907	0.01705
0.05977	0.01673
0.0607	0.01647
0.06185	0.01628
0.0632	0.01614
0.06476	0.01605
0.06651	0.016
0.06845	0.01601
0.07055	0.01606
0.07282	0.01615
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
0.07524	0.01628
