Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.01356782	0.007719155
0.015154568	0.00899803
0.016891996	0.010457242
0.018789606	0.012116302
0.020856868	0.013995765
0.023103117	0.016117097
0.02553745	0.018502487
0.028168609	0.021174617
0.031004859	0.024156386
0.034053858	0.027470579
0.037322527	0.031139498
0.040816912	0.035184538
0.044542048	0.039625732
0.048501828	0.044481264
0.052698873	0.049766961
0.057134411	0.055495776
0.06180817	0.061677282
0.06671828	0.068317192
0.071861195	0.075416912
0.077231629	0.082973166
0.082822521	0.090977695
0.088625013	0.099417041
0.094628458	0.108272449
0.100820451	0.117519875
0.107186883	0.12713012
0.113712021	0.137069079
0.120378607	0.147298102
0.127167985	0.15777447
0.134060232	0.168451947
0.141034327	0.17928141
0.148068306	0.190211526
0.155139451	0.201189461
0.162224466	0.212161581
0.169299665	0.223074154
0.176341158	0.233873995
0.183325026	0.244509071
0.190227496	0.254929035
0.197025104	0.265085678
0.203694842	0.274933302
0.210214298	0.284429015
0.216561773	0.293532931
0.222716391	0.302208301
0.228658184	0.310421569
0.234368172	0.318142366
0.239828416	0.32534345
0.245022064	0.332000602
0.249933385	0.338092494
0.254547785	0.343600526
0.258851814	0.348508653
0.26283317	0.352803215
0.266480688	0.356472752
0.269784325	0.359507847
0.272735148	0.361900976
0.275325305	0.363646372
0.277548012	0.364739925
0.279397523	0.365179101
0.280869116	0.364962891
0.28195907	0.364091792
0.282664648	0.362567813
0.282984092	0.360394523
0.282916606	0.357577111
0.282462359	0.354122492
0.28162248	0.350039424
0.280399069	0.345338651
0.278795204	0.340033068
0.276814953	0.334137886
0.274463393	0.327670818
0.271746629	0.320652244
0.268671816	0.313105383
0.26524718	0.305056435
0.261482039	0.296534695
0.257386825	0.287572633
0.252973099	0.278205913
0.248253562	0.268473364
0.243242063	0.258416875
0.237953596	0.248081218
Prevalence of current smoking	
0.217266162	0.038415182
0.240011431	0.040625667
0.262963103	0.042881124
0.285866671	0.045175788
0.308481269	0.047503469
0.33058696	0.049857581
0.351989886	0.052231183
0.372525259	0.054617013
0.392058377	0.057007536
0.410483993	0.059394988
0.427724431	0.061771423
0.443726854	0.064128764
0.458460053	0.066458851
0.471911059	0.068753498
0.484081817	0.071004536
0.494986083	0.073203871
0.504646643	0.075343532
0.513092913	0.077415715
0.520358931	0.079412833
0.526481718	0.081327561
0.531500004	0.083152874
0.535453252	0.08488209
0.538380967	0.0865089
0.540322223	0.088027408
0.541315391	0.089432154
0.541398013	0.090718144
0.540606807	0.091880871
0.538977761	0.092916336
0.536546302	0.093821062
0.533347509	0.09459211
0.529416361	0.095227085
0.524787994	0.095724146
0.519497964	0.096082007
0.513582488	0.096299943
0.507078668	0.096377779
0.500024675	0.096315895
0.492459889	0.096115209
0.484424995	0.095777178
0.475962018	0.095303774
0.467114303	0.094697479
0.457926428	0.093961262
0.448444071	0.093098562
0.438713807	0.092113266
0.428782864	0.091009687
0.418698836	0.089792536
0.408509353	0.088466896
0.398261737	0.087038197
0.388002643	0.085512178
0.377777701	0.08389486
0.367631166	0.082192512
0.3576056	0.080411616
0.347741579	0.078558832
0.338077451	0.076640961
0.32864914	0.074664908
0.319490005	0.072637648
0.310630761	0.070566183
0.302099455	0.068457513
0.293921505	0.066318591
0.286119794	0.064156296
0.278714811	0.061977391
0.27172485	0.059788495
0.265166247	0.057596047
0.259053645	0.055406282
0.253400311	0.053225197
0.248218457	0.051058528
0.2435196	0.04891173
0.239314931	0.046789952
0.235615704	0.044698023
0.232433636	0.042640435
0.229781319	0.040621334
0.227672649	0.038644507
0.226123259	0.036713381
0.225150975	0.034831018
0.224776278	0.033000116
0.225022784	0.031223009
0.225917744	0.029501677
Prevalence of low BMI	
0.206021054	0.078047774
0.174572527	0.067392485
0.148636887	0.058497144
0.127334572	0.051054395
0.109866227	0.044810204
0.095539717	0.039555764
0.083774008	0.035120005
0.074091011	0.031362995
0.06610235	0.028170317
0.059495012	0.025448356
0.054017844	0.023120419
0.049469746	0.021123563
0.045689763	0.019406012
0.042548985	0.017925071
0.039944024	0.016645443
0.037791819	0.015537863
0.036025518	0.014578
0.034591221	0.01374557
0.033445415	0.013023618
0.032552934	0.012397934
0.031885349	0.011856578
0.031419682	0.011389499
0.031137375	0.010988214
0.031023455	0.010645556
0.031065854	0.01035546
0.031254842	0.010112784
0.031582556	0.009913173
0.032042588	0.009752932
0.032629625	0.009628927
0.033339133	0.009538505
0.034167052	0.009479419
0.035109519	0.009449771
0.036162597	0.00944796
0.037322011	0.009472636
0.038582889	0.009522666
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
0.03993951	0.009597096
