Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.010203077	0.006163422
0.011400868	0.007186416
0.0127135	0.008354316
0.014148463	0.009683007
0.015713276	0.011189296
0.017415422	0.012890815
0.01926227	0.014805888
0.021260995	0.016953377
0.023418489	0.019352472
0.025741267	0.022022455
0.028235373	0.024982424
0.030906272	0.028250977
0.033758752	0.031845865
0.036796818	0.035783613
0.04002359	0.040079122
0.043441203	0.044745256
0.047050716	0.049792423
0.050852021	0.055228167
0.054843771	0.06105678
0.059023311	0.067278944
0.063386625	0.073891428
0.067928299	0.080886839
0.072641498	0.088253446
0.077517961	0.095975095
0.082548015	0.1040312
0.0877206	0.112396833
0.093023325	0.121042912
0.098442526	0.12993647
0.10396335	0.139041011
0.109569854	0.148316943
0.115245111	0.157722058
0.120971333	0.167212072
0.126729998	0.17674118
0.132501992	0.186262624
0.138267745	0.195729265
0.144007376	0.205094117
0.149700836	0.214310861
0.155328046	0.223334308
0.160869036	0.232120801
0.166304069	0.240628573
0.171613766	0.248818024
0.176779217	0.256651949
0.181782081	0.2640957
0.18660468	0.271117291
0.19123008	0.277687451
0.195642158	0.283779639
0.199825664	0.289370012
0.203766269	0.294437372
0.207450607	0.298963087
0.210866304	0.302931001
0.214002002	0.306327332
0.216847379	0.309140578
0.219393155	0.311361416
0.221631106	0.312982622
0.22355406	0.313998997
0.225155904	0.314407316
0.226431576	0.314206288
0.227377072	0.313396548
0.227989432	0.31198066
0.228266749	0.309963147
0.228208159	0.307350537
0.227813844	0.304151428
0.227085033	0.300376573
0.226023999	0.296038965
0.224634066	0.291153942
0.222919607	0.285739283
0.220886049	0.279815302
0.218539876	0.273404935
0.215888626	0.266533802
0.212940893	0.259230242
0.20970632	0.251525322
0.206195592	0.243452793
0.202420425	0.235049005
0.19839354	0.226352766
0.194128645	0.217405134
0.189640393	0.208249158
Prevalence of current smoking	
0.224799371	0.041408778
0.248083325	0.043783676
0.271531107	0.046206016
0.29488236	0.048669555
0.317892693	0.051167605
0.340340878	0.053693064
0.36203377	0.056238456
0.382808953	0.058795976
0.402535372	0.061357536
0.421112306	0.063914817
0.438467121	0.066459316
0.454552223	0.068982404
0.469341593	0.071475377
0.482827213	0.073929514
0.495015603	0.076336127
0.505924639	0.078686619
0.515580732	0.080972532
0.524016413	0.083185602
0.531268337	0.085317803
0.537375673	0.087361395
0.542378858	0.089308966
0.546318666	0.091153474
0.549235551	0.092888278
0.551169214	0.09450718
0.552158371	0.096004445
0.552240655	0.097374835
0.551452657	0.098613627
0.549830046	0.099716636
0.54740776	0.100680228
0.544220252	0.101501332
0.540301751	0.102177452
0.53568655	0.102706674
0.530409281	0.103087664
0.524505183	0.103319674
0.518010348	0.103402535
0.51096192	0.103336655
0.503398266	0.103123011
0.495359089	0.102763135
0.486885483	0.102259106
0.478019936	0.101613533
0.468806267	0.100829537
0.459289504	0.09991073
0.449515704	0.098861197
0.439531721	0.097685472
0.429384926	0.096388507
0.419122888	0.09497565
0.408793035	0.093452614
0.39844229	0.091825444
0.388116705	0.090100485
0.377861116	0.088284351
0.367718795	0.086383885
0.357731161	0.084406123
0.347937504	0.08235826
0.338374784	0.080247608
0.329077463	0.078081559
0.320077409	0.075867547
0.311403855	0.073613007
0.303083415	0.071325339
0.295140166	0.069011866
0.287595779	0.066679804
0.280469698	0.06433622
0.273779369	0.061988002
0.267540507	0.059641825
0.261767396	0.057304121
0.256473219	0.054981052
0.251670408	0.052678483
0.247371026	0.050401964
0.243587147	0.048156705
0.24033127	0.045947561
0.237616732	0.043779022
0.235458138	0.041655199
0.23387181	0.039579818
0.232876235	0.037556218
0.232492539	0.035587347
0.232744966	0.033675766
0.233661379	0.031823654
Prevalence of low BMI	
0.360540928	0.118709216
0.314859012	0.103123641
0.275025839	0.089967006
0.240731594	0.078855616
0.211476753	0.069460092
0.186679059	0.061501314
0.165746359	0.054744868
0.14812033	0.048995067
0.133298793	0.044089184
0.120843879	0.039892199
0.110381729	0.036292189
0.101597681	0.033196376
0.094229462	0.030527801
0.088059893	0.028222546
0.082909912	0.026227438
0.078632292	0.02449816
0.075106195	0.022997698
0.072232556	0.021695074
0.069930227	0.0205643
0.068132787	0.019583532
0.066785913	0.018734369
0.065845211	0.018001281
0.065274434	0.017371138
0.065044005	0.016832822
0.065129773	0.01637691
0.065511977	0.015995406
0.066174349	0.01568152
0.06710333	0.015429489
0.068287384	0.01523442
0.069716367	0.01509216
0.071380944	0.014999194
0.073272047	0.014952543
0.07538035	0.014949692
0.077695772	0.014988521
0.080206988	0.015067239
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
0.082900963	0.015184342
