Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.009537928	0.005444593
0.010658476	0.00634904
0.01188666	0.007381866
0.013229549	0.00855723
0.014694245	0.009890143
0.016287831	0.01139638
0.018017295	0.013092383
0.019889456	0.014995123
0.021910886	0.017121929
0.024087821	0.01949029
0.026426067	0.022117615
0.028930912	0.025020973
0.031607023	0.028216783
0.034458353	0.031720496
0.037488043	0.035546244
0.040698325	0.039706476
0.044090437	0.044211585
0.047664539	0.049069542
0.051419635	0.054285538
0.055353511	0.059861653
0.059462677	0.065796558
0.063742333	0.072085265
0.068186336	0.07871894
0.072787197	0.085684775
0.077536078	0.092965941
0.082422822	0.100541615
0.087435989	0.108387098
0.092562911	0.116473999
0.097789763	0.124770509
0.103101648	0.133241741
0.108482696	0.14185012
0.113916173	0.150555837
0.119384601	0.159317325
0.124869883	0.168091762
0.130353432	0.176835577
0.135816311	0.185504947
0.141239364	0.194056279
0.146603349	0.202446659
0.15188907	0.21063425
0.157077503	0.218578662
0.162149913	0.226241255
0.167087964	0.233585395
0.171873826	0.240576657
0.176490264	0.247182974
0.18092072	0.253374745
0.185149391	0.259124889
0.189161291	0.264408874
0.192942302	0.269204711
0.196479224	0.27349292
0.199759807	0.277256482
0.202772784	0.280480786
0.205507894	0.283153555
0.207955895	0.285264791
0.210108581	0.286806708
0.211958785	0.287773686
0.21350039	0.288162226
0.214728326	0.287970931
0.215638575	0.287200487
0.21622817	0.285853678
0.216495193	0.283935396
0.216438777	0.281452686
0.216059105	0.278414787
0.215357411	0.274833193
0.214335978	0.270721714
0.21299814	0.266096543
0.211348282	0.260976315
0.209391839	0.255382163
0.207135295	0.24933775
0.20458618	0.242869291
0.201753062	0.236005534
0.19864554	0.228777717
0.195274229	0.221219478
0.191650741	0.213366717
0.187787661	0.205257419
0.183698513	0.196931411
0.179397725	0.188430074
Prevalence of current smoking	
0.16948262	0.032208367
0.18842974	0.034074356
0.207797476	0.035979738
0.22737853	0.037919725
0.246966312	0.039889156
0.266361803	0.041882521
0.285379292	0.043893988
0.303850742	0.04591744
0.321628694	0.047946505
0.338587789	0.049974595
0.354625053	0.051994949
0.369659187	0.05400067
0.383629125	0.055984772
0.396492079	0.057940222
0.408221335	0.059859983
0.418803942	0.061737061
0.428238464	0.063564548
0.436532879	0.065335663
0.443702695	0.067043794
0.449769308	0.068682541
0.454758625	0.070245751
0.458699933	0.071727554
0.461625008	0.073122396
0.463567433	0.074425072
0.4645621	0.075630752
0.464644874	0.076735009
0.463852384	0.077733837
0.462221914	0.078623674
0.459791379	0.079401414
0.456599354	0.080064427
0.452685137	0.080610564
0.448088836	0.081038164
0.442851456	0.081346061
0.437014969	0.081533587
0.430622371	0.081600566
0.423717699	0.081547314
0.416346012	0.08137463
0.408553321	0.081083789
0.400386482	0.080676532
0.391893032	0.080155046
0.38312098	0.079521957
0.374118564	0.078780303
0.364933966	0.077933521
0.355615002	0.076985419
0.346208794	0.075940157
0.336761435	0.074802219
0.327317661	0.073576385
0.31792053	0.072267706
0.308611133	0.070881468
0.299428333	0.06942317
0.29040855	0.067898484
0.281585588	0.066313227
0.272990519	0.064673328
0.264651617	0.062984791
0.256594348	0.06125367
0.248841412	0.059486027
0.241412834	0.057687905
0.234326107	0.055865295
0.227596369	0.054024105
0.221236619	0.052170131
0.21525797	0.050309027
0.209669915	0.048446281
0.204480625	0.046587187
0.199697259	0.044736826
0.195326284	0.042900041
0.191373811	0.041081423
0.18784593	0.039285292
0.184749063	0.037515683
0.182090316	0.035776338
0.179877844	0.034070697
0.178121223	0.032401888
0.17683184	0.03077273
0.176023291	0.029185727
0.175711812	0.027643072
0.175916721	0.02614665
0.176660897	0.024698044
Prevalence of low BMI	
0.297579138	0.061946908
0.256672631	0.053362524
0.221817454	0.046227249
0.192397233	0.040278844
0.167718713	0.035303523
0.147094901	0.031127508
0.129891975	0.027609719
0.11555071	0.024635619
0.103591911	0.022112138
0.093612886	0.019963525
0.085279595	0.018127991
0.078317287	0.016555011
0.072501191	0.015203158
0.067648006	0.014038361
0.063608503	0.013032514
0.060261277	0.012162363
0.057507571	0.011408607
0.055267037	0.01075518
0.053474296	0.010188668
0.052076146	0.009697843
0.051029304	0.00927328
0.050298577	0.00890705
0.049855373	0.008592469
0.049676483	0.008323892
0.049743065	0.008096544
0.050039808	0.007906382
0.050554208	0.007749981
0.051275948	0.007624437
0.052196351	0.00752729
0.053307877	0.007456455
0.054603674	0.00741017
0.056077136	0.007386945
0.057721496	0.007385526
0.059529422	0.007404856
0.061492627	0.007444047
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
0.063601493	0.007502354
