Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.013200856	0.009155221
0.01474533	0.010669459
0.016436622	0.012396337
0.018284028	0.014358573
0.020296817	0.016580016
0.022484134	0.01908546
0.024854906	0.0219004
0.02741772	0.025050732
0.030180712	0.028562401
0.033151438	0.03246098
0.036336746	0.036771207
0.039742646	0.04151646
0.043374173	0.046718205
0.047235262	0.052395397
0.051328618	0.058563889
0.055655601	0.065235823
0.060216115	0.07241906
0.065008514	0.080116644
0.070029522	0.088326347
0.075274171	0.097040284
0.080735759	0.106244659
0.086405826	0.115919615
0.092274164	0.12603924
0.098328835	0.136571705
0.104556226	0.147479556
0.110941119	0.158720135
0.117466787	0.170246138
0.12411511	0.182006277
0.130866706	0.193946022
0.137701085	0.206008412
0.144596806	0.218134892
0.151531654	0.230266147
0.158482812	0.242342922
0.165427048	0.254306783
0.172340887	0.266100813
0.179200796	0.277670222
0.185983345	0.288962854
0.192665376	0.299929603
0.199224146	0.310524709
0.205637464	0.320705967
0.211883816	0.330434836
0.217942472	0.339676453
0.223793573	0.348399591
0.229418214	0.356576535
0.234798501	0.364182925
0.239917601	0.371197545
0.244759777	0.377602104
0.249310407	0.383380988
0.253556001	0.388521016
0.257484202	0.393011199
0.261083778	0.396842511
0.264344621	0.400007674
0.267257721	0.402500977
0.269815159	0.404318111
0.272010079	0.405456043
0.273836675	0.405912919
0.275290168	0.405688004
0.276366792	0.40478166
0.277063776	0.403195354
0.277379338	0.40093171
0.277312672	0.397994588
0.276863948	0.394389208
0.276034312	0.390122294
0.27482589	0.385202254
0.273241798	0.379639385
0.271286154	0.373446096
0.268964094	0.366637143
0.266281787	0.359229881
0.263246457	0.351244504
0.259866402	0.342704277
0.256151013	0.333635754
0.252110789	0.32406895
0.247757352	0.314037483
0.243103455	0.303578639
0.238162985	0.292733386
0.232950952	0.281546291
Prevalence of current smoking	
0.168974367	0.011207371
0.187877522	0.011871593
0.207202989	0.012551566
0.226744058	0.013245689
0.246294606	0.013952213
0.265655954	0.014669245
0.284642601	0.015394756
0.303086591	0.016126592
0.320840439	0.016862483
0.337778666	0.017600056
0.353798106	0.018336847
0.368817217	0.019070315
0.382774657	0.019797859
0.395627352	0.020516833
0.407348293	0.021224564
0.417924251	0.021918365
0.427353527	0.022595559
0.435643862	0.023253491
0.442810551	0.023889549
0.448874808	0.024501181
0.453862387	0.025085912
0.45780245	0.02564136
0.460726673	0.026165254
0.462668566	0.026655445
0.463662971	0.027109928
0.463745724	0.027526847
0.462953441	0.027904511
0.461323412	0.028241407
0.458893571	0.028536205
0.455702521	0.028787768
0.4517896	0.02899516
0.447194963	0.029157648
0.441959663	0.029274709
0.436125729	0.029346031
0.42973621	0.029371509
0.422835195	0.029351252
0.415467793	0.029285573
0.407680058	0.029174991
0.399518884	0.029020221
0.391031835	0.028822169
0.382266942	0.028581924
0.373272451	0.028300751
0.364096542	0.027980076
0.354787016	0.027621479
0.345390969	0.027226681
0.33595446	0.02679753
0.326522175	0.026335988
0.317137115	0.025844118
0.307840304	0.025324069
0.298670532	0.024778062
0.289664138	0.024208374
0.280854841	0.023617324
0.272273624	0.023007259
0.26394867	0.02238054
0.255905355	0.021739524
0.248166286	0.021086556
0.240751403	0.020423954
0.233678112	0.019753992
0.226961467	0.019078896
0.220614392	0.018400829
0.214647922	0.017721878
0.209071485	0.017044052
0.203893185	0.016369268
0.199120121	0.015699346
0.194758705	0.015036004
0.190814993	0.01438085
0.187295027	0.013735379
0.184205183	0.013100974
0.18155252	0.012478895
0.179345149	0.011870289
0.177592605	0.011276179
0.176306227	0.010697473
0.175499569	0.010134959
0.175188819	0.009589315
0.175393248	0.009061102
0.176135683	0.008550777
Prevalence of low BMI	
0.225226055	0.058476334
0.191553206	0.050347077
0.163594801	0.043596437
0.140502537	0.037973081
0.121479215	0.033272698
0.105818398	0.029329604
0.092916911	0.026009545
0.082272026	0.023203702
0.073471264	0.020823764
0.066179554	0.018797934
0.060126342	0.017067703
0.055093885	0.015585265
0.050907177	0.014311448
0.04742557	0.013214052
0.044535939	0.012266532
0.042147181	0.01144693
0.040185822	0.010737031
0.038592521	0.010121675
0.037319299	0.009588209
0.036327329	0.009126043
0.035585187	0.008726292
0.035067444	0.008381482
0.034753538	0.008085311
0.03462686	0.007832461
0.034674007	0.007618433
0.034884156	0.007439416
0.035248539	0.007292185
0.035759997	0.007174003
0.036412578	0.007082554
0.03720118	0.007015874
0.038121224	0.006972305
0.03916834	0.006950443
0.040338069	0.006949108
0.041625572	0.006967303
0.043025343	0.007004195
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
0.044530931	0.007059081
