Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.012365561	0.007087299
0.013813675	0.008262362
0.015399776	0.009603427
0.017132675	0.011128551
0.019021173	0.012856789
0.021073976	0.01480808
0.023299602	0.017003079
0.025706274	0.019462959
0.028301816	0.022209164
0.031093529	0.02526312
0.034088077	0.028645899
0.037291362	0.032377843
0.040708396	0.036478155
0.044343183	0.040964451
0.048198593	0.045852299
0.052276256	0.051154746
0.056576451	0.056881838
0.061098013	0.063040175
0.065838257	0.069632479
0.070792909	0.076657225
0.075956061	0.084108331
0.081320145	0.09197493
0.086875929	0.100241229
0.092612528	0.108886476
0.098517447	0.117885031
0.10457664	0.127206546
0.110774588	0.136816253
0.117094403	0.146675351
0.123517945	0.156741479
0.130025958	0.166969263
0.136598214	0.177310922
0.143213676	0.187716901
0.149850656	0.198136523
0.156486993	0.208518644
0.163100213	0.218812265
0.169667704	0.228967127
0.176166879	0.238934229
0.182575327	0.248666303
0.188870965	0.258118198
0.195032171	0.267247207
0.20103791	0.276013302
0.206867839	0.28437931
0.212502408	0.292311012
0.217922939	0.299777184
0.223111696	0.306749584
0.228051936	0.313202898
0.232727957	0.319114645
0.237125124	0.324465056
0.241229893	0.329236946
0.245029817	0.333415564
0.248513557	0.336988447
0.251670874	0.339945282
0.254492625	0.342277779
0.256970749	0.343979553
0.259098258	0.345046032
0.260869219	0.345474391
0.262278742	0.345263503
0.263322969	0.344413921
0.263999059	0.342927891
0.264305181	0.340809383
0.264240508	0.338064154
0.263805215	0.334699836
0.263000478	0.33072604
0.26182848	0.326154481
0.260292414	0.320999115
0.258396499	0.315276284
0.256145986	0.309004862
0.253547174	0.30220639
0.250607425	0.29490521
0.247335173	0.287128557
0.243739945	0.278906636
0.239832363	0.270272651
0.235624151	0.261262776
0.231128139	0.251916083
0.226358255	0.242274393
0.221329508	0.232382055
Prevalence of current smoking	
0.128304871	0.009108879
0.143443656	0.009649945
0.159093932	0.010203982
0.175099975	0.010769696
0.19129924	0.011345669
0.207527743	0.011930366
0.223625053	0.012522139
0.239438657	0.013119236
0.254827468	0.013719809
0.26966441	0.014321922
0.283838061	0.014923565
0.29725344	0.015522662
0.309832046	0.016117085
0.321511302	0.016704667
0.332243556	0.017283217
0.341994804	0.01785053
0.350743235	0.018404409
0.358477741	0.018942669
0.365196447	0.019463162
0.37090534	0.019963785
0.375617029	0.020442498
0.379349648	0.020897337
0.382125928	0.021326424
0.383972415	0.021727985
0.384918844	0.022100361
0.384997631	0.022442016
0.384243485	0.022751549
0.382693107	0.023027706
0.380384966	0.023269384
0.377359124	0.023475639
0.373657099	0.023645693
0.369321749	0.023778937
0.364397163	0.023874935
0.358928539	0.023933426
0.352962056	0.023954321
0.346544716	0.023937707
0.339724164	0.023883845
0.332548475	0.02379316
0.325065917	0.023666243
0.317324678	0.023503846
0.309372588	0.023306868
0.301256804	0.023076355
0.293023506	0.022813487
0.284717582	0.022519572
0.276382327	0.022196032
0.268059157	0.021844394
0.25978735	0.021466279
0.251603825	0.021063392
0.243542951	0.020637505
0.235636411	0.020190451
0.227913101	0.019724106
0.220399094	0.019240382
0.213117634	0.018741209
0.206089189	0.018228529
0.199331544	0.01770428
0.192859933	0.017170387
0.186687205	0.016628752
0.180824024	0.01608124
0.175279091	0.015529672
0.170059382	0.014975819
0.165170409	0.014421387
0.160616487	0.013868016
0.156401005	0.013317269
0.15252671	0.012770631
0.148995985	0.012229498
0.145811135	0.011695177
0.142974671	0.011168885
0.140489595	0.010651739
0.138359693	0.010144764
0.136589832	0.009648883
0.135186264	0.009164923
0.134156946	0.008693616
0.133511877	0.008235596
0.133263456	0.007791404
0.133426876	0.007361491
0.13402054	0.006946218
Prevalence of low BMI	
0.296313961	0.141876772
0.255518106	0.123676342
0.220773144	0.108213947
0.191457355	0.095084432
0.166874482	0.083931456
0.146336229	0.074447199
0.129208589	0.066369113
0.114932809	0.059475246
0.10303051	0.053579103
0.093099948	0.048524601
0.084808045	0.044181421
0.077880958	0.040440878
0.07209473	0.037212351
0.067266781	0.034420245
0.063248498	0.032001437
0.059919004	0.029903147
0.057179986	0.028081171
0.054951471	0.02649842
0.053168391	0.02512372
0.051777801	0.023930814
0.050736635	0.02289755
0.050009878	0.022005207
0.049569086	0.021237936
0.049391169	0.020582302
0.049457389	0.020026905
0.049752517	0.019562064
0.05026412	0.019179553
0.050981941	0.01887238
0.051897355	0.018634606
0.05300287	0.018461191
0.054291678	0.018347858
0.055757218	0.018290986
0.057392767	0.018287511
0.059191043	0.018334847
0.061143815	0.018430812
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
0.063241524	0.018573563
