Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.012500851	0.007133855
0.013964584	0.008316573
0.01556774	0.009666352
0.017319207	0.011201355
0.019227863	0.012940753
0.021302489	0.014904594
0.023551667	0.017113651
0.025983684	0.019589208
0.028606412	0.022352821
0.031427199	0.025426018
0.03445274	0.028829964
0.037688956	0.032585083
0.041140865	0.036710644
0.044812462	0.041224309
0.048706594	0.046141672
0.052824849	0.051475777
0.057167448	0.057236643
0.061733153	0.063430809
0.066519182	0.070060908
0.071521153	0.077125292
0.076733033	0.084617726
0.082147109	0.092527154
0.087753994	0.100837573
0.093542634	0.109527991
0.099500354	0.118572507
0.105612917	0.127940499
0.111864609	0.137596911
0.118238342	0.147502651
0.124715774	0.157615068
0.131277446	0.167888507
0.137902932	0.178274917
0.144571001	0.188724492
0.15125978	0.199186329
0.157946927	0.209609078
0.164609804	0.219941571
0.171225645	0.230133403
0.17777172	0.240135462
0.184225493	0.249900398
0.190564767	0.259383008
0.196767824	0.268540557
0.202813544	0.27733302
0.208681516	0.285723242
0.214352134	0.293677045
0.219806678	0.30116326
0.225027381	0.308153711
0.229997482	0.314623159
0.234701266	0.3205492
0.239124097	0.325912152
0.243252435	0.330694906
0.247073845	0.334882789
0.250577001	0.338463411
0.253751681	0.341426524
0.256588763	0.343763891
0.259080205	0.345469173
0.261219038	0.346537831
0.262999349	0.346967061
0.264416265	0.346755744
0.26546594	0.34590443
0.266145544	0.344415348
0.266453254	0.342292437
0.266388245	0.339541415
0.265950693	0.336169862
0.265141769	0.332187328
0.263963646	0.327605457
0.262419507	0.322438131
0.260513556	0.316701611
0.258251025	0.310414689
0.255638195	0.303598828
0.252682408	0.29627829
0.24939208	0.288480243
0.245776716	0.280234833
0.241846923	0.271575216
0.237614412	0.262537541
0.233092004	0.253160872
0.228293625	0.243487046
0.223234288	0.233560457
Prevalence of current smoking	
0.192056471	0.024624687
0.21288035	0.026063147
0.234036509	0.027533325
0.255293309	0.029031606
0.276425479	0.030554077
0.29722138	0.032096539
0.317488664	0.033654529
0.337058168	0.035223345
0.355786062	0.036798071
0.373554446	0.0383736
0.390270658	0.039944673
0.405865615	0.041505903
0.42029151	0.043051813
0.43351914	0.044576868
0.445535114	0.04607551
0.456339108	0.047542196
0.465941311	0.04897143
0.474360127	0.050357799
0.481620189	0.051696008
0.487750683	0.052980914
0.492783989	0.054207557
0.496754604	0.055371189
0.49969833	0.056467307
0.501651682	0.057491677
0.502651495	0.058440358
0.502734684	0.059309729
0.501938138	0.060096503
0.500298717	0.06079775
0.497853318	0.061410911
0.494639003	0.061933807
0.490693156	0.062364655
0.48605366	0.06270207
0.480759072	0.062945073
0.474848787	0.063093093
0.468363173	0.063145964
0.461343682	0.063103928
0.453832903	0.062967622
0.445874582	0.062738077
0.437513575	0.062416705
0.428795758	0.062005289
0.419767875	0.061505966
0.410477339	0.060921216
0.400971985	0.06025384
0.391299782	0.05950694
0.381508518	0.058683902
0.371645461	0.057788372
0.361757014	0.056824231
0.351888366	0.055795571
0.342083165	0.05470667
0.332383205	0.053561964
0.322828159	0.052366023
0.313455341	0.05112352
0.30429953	0.049839204
0.295392837	0.048517877
0.286764635	0.047164361
0.278441545	0.045783474
0.270447472	0.044380004
0.262803702	0.04295868
0.255529047	0.041524154
0.248640026	0.040080972
0.2421511	0.038633555
0.236074927	0.037186179
0.230422653	0.035742953
0.225204227	0.034307807
0.220428728	0.032884472
0.216104718	0.031476471
0.212240595	0.030087103
0.208844972	0.028719442
0.205927049	0.027376318
0.203497011	0.026060325
0.201566424	0.024773808
0.200148655	0.023518865
0.1992593	0.022297351
0.19891663	0.021110873
0.199142061	0.019960805
0.199960648	0.01884828
Prevalence of low BMI	
0.313764386	0.125861685
0.27149293	0.109453676
0.235262179	0.095575509
0.204527425	0.083835252
0.178637144	0.073894008
0.156923872	0.06546293
0.138758449	0.058298301
0.123577277	0.052195894
0.11089193	0.046985347
0.100288368	0.042524932
0.091420771	0.038696911
0.084003135	0.035403505
0.077800432	0.032563481
0.072620294	0.030109279
0.06830563	0.027984635
0.064728317	0.026142608
0.061783904	0.024543961
0.05938726	0.02315583
0.057468998	0.021950628
0.055972578	0.020905154
0.054851941	0.019999853
0.054069594	0.019218215
0.053595038	0.018546277
0.053403483	0.017972211
0.053474779	0.017485988
0.053792524	0.017079096
0.054343294	0.016744307
0.055115989	0.016475481
0.056101244	0.016267405
0.0572909	0.016115658
0.058677514	0.016016489
0.060253901	0.015966726
0.06201269	0.015963685
0.063945902	0.016005104
0.066044529	0.016089075
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
0.06829814	0.016213989
