Prevalence of risky drinking	
0.0282	0.00569
0.0325	0.00642
0.03708	0.00717
0.0419	0.00793
0.04691	0.00868
0.05205	0.00941
0.05724	0.0101
0.06242	0.01075
0.06753	0.01134
0.07248	0.01186
0.07722	0.01231
0.08169	0.01266
0.08583	0.01293
0.08959	0.01311
0.09293	0.01319
0.09582	0.01318
0.09825	0.01309
0.10019	0.01291
0.10165	0.01266
0.10263	0.01234
0.10313	0.01197
0.10317	0.01154
0.10278	0.01107
0.10198	0.01057
0.1008	0.01005
0.09928	0.00951
0.09745	0.00896
0.09535	0.00842
0.09302	0.00788
0.0905	0.00735
0.08781	0.00684
0.08501	0.00634
0.08211	0.00587
0.07916	0.00542
0.07619	0.00499
0.07321	0.0046
0.07026	0.00422
0.06735	0.00388
0.06451	0.00356
0.06176	0.00326
0.05909	0.00299
0.05653	0.00274
0.05409	0.00251
0.05177	0.0023
0.04958	0.00211
0.04752	0.00194
0.04559	0.00179
0.0438	0.00165
0.04214	0.00152
0.04062	0.00141
0.03923	0.00131
0.03798	0.00122
0.03686	0.00114
0.03587	0.00106
0.03502	0.001
0.03429	0.00094
0.0337	0.00089
0.03325	0.00085
0.03293	0.00081
0.03276	0.00078
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
0.03273	0.00075
Prevalence of diabetes	
0.013002863	0.005353521
0.014524513	0.006242934
0.016190893	0.007258624
0.018011186	0.008414532
0.019994551	0.009725436
0.022150031	0.011206872
0.024486456	0.012875041
0.027012332	0.014746666
0.02973572	0.016838835
0.03266412	0.0191688
0.035804339	0.02175375
0.039162363	0.024610545
0.042743227	0.027755426
0.046550883	0.031203691
0.050588081	0.03496936
0.054856247	0.039064809
0.059355377	0.043500412
0.064083944	0.048284173
0.069038815	0.053421376
0.074215189	0.058914256
0.079606555	0.064761702
0.08520467	0.070959013
0.090999555	0.0774977
0.096979527	0.084365364
0.103131237	0.091545637
0.109439746	0.099018207
0.115888614	0.106758924
0.12246001	0.114739978
0.129134846	0.122930159
0.135892922	0.131295185
0.142713081	0.139798086
0.149573383	0.148399643
0.156451274	0.157058854
0.16332377	0.165733427
0.170167629	0.17438028
0.176959528	0.182956032
0.183676231	0.19141748
0.190294749	0.199722039
0.196792488	0.207828152
0.203147386	0.215695648
0.209338034	0.223286053
0.215343785	0.230562847
0.221144847	0.237491676
0.226722362	0.244040502
0.232058466	0.250179715
0.237136341	0.255882201
0.241940251	0.261123368
0.246455566	0.265881152
0.250668778	0.270135989
0.254567503	0.273870771
0.258140481	0.277070795
0.261377566	0.279723702
0.264269715	0.281819419
0.266808971	0.283350096
0.268988445	0.284310065
0.270802298	0.284695798
0.272245723	0.284505884
0.273314931	0.283741017
0.274007133	0.282404003
0.274320534	0.280499778
0.274254324	0.278035445
0.273808674	0.275020313
0.272984737	0.271465958
0.271784654	0.267386279
0.27021156	0.262797558
0.268269599	0.257718518
0.265963934	0.252170369
0.26330077	0.246176842
0.260287366	0.239764193
0.256932056	0.232961189
0.253244265	0.225799052
0.249234527	0.218311363
0.244914493	0.210533926
0.240296939	0.202504576
0.235395765	0.194262939
0.23022599	0.185850138
Prevalence of current smoking	
0.224356104	0.154964157
0.247608811	0.162746045
0.27102791	0.170575929
0.294353374	0.178429948
0.317341006	0.186284019
0.33976964	0.194114029
0.361446071	0.201896017
0.382207734	0.209606349
0.401923347	0.217221876
0.420491915	0.224720079
0.437840501	0.232079198
0.453921197	0.239278338
0.468707679	0.246297563
0.482191635	0.253117971
0.494379317	0.259721749
0.505288362	0.266092213
0.514944968	0.272213833
0.523381486	0.278072245
0.530634419	0.283654249
0.536742813	0.288947792
0.541747005	0.293941953
0.545687697	0.298626908
0.548605286	0.302993897
0.550539441	0.307035182
0.551528856	0.310744007
0.551611162	0.314114549
0.550822957	0.317141876
0.54919993	0.319821903
0.546777048	0.322151346
0.543588802	0.324127684
0.539669464	0.325749119
0.535053378	0.327014546
0.529775229	0.327923519
0.523870316	0.328476226
0.517374788	0.328673472
0.510325851	0.328516656
0.502761934	0.328007764
0.494722795	0.327149358
0.486249586	0.325944576
0.477384845	0.32439713
0.468172438	0.322511313
0.458657432	0.320292001
0.448885916	0.317744672
0.438904768	0.314875412
0.428761374	0.31169093
0.418503309	0.308198576
0.408177996	0.304406355
0.397832344	0.300322939
0.387512384	0.295957686
0.377262917	0.291320647
0.367127179	0.286422576
0.357146536	0.281274933
0.347360229	0.275889886
0.337805156	0.270280306
0.328515715	0.26445975
0.319523707	0.25844245
0.310858297	0.252243279
0.302546029	0.245877723
0.294610911	0.239361834
0.287074543	0.232712182
0.279956302	0.225945795
0.273273568	0.219080089
0.267041994	0.212132793
0.261275803	0.205121868
0.25598812	0.198065411
0.251191325	0.190981564
0.246897427	0.183888413
0.243118452	0.176803878
0.239866853	0.169745613
0.237155923	0.162730896
0.235000225	0.155776524
0.23341604	0.148898709
0.232421817	0.142112979
0.232038643	0.135434086
0.232290726	0.128875923
0.233205895	0.12245144
Prevalence of low BMI	
0.302935312	0.107155697
0.261566699	0.09292706
0.22624921	0.080953896
0.196389536	0.070868984
0.171307553	0.062360632
0.15032214	0.055167089
0.132800551	0.049070127
0.11818177	0.043888665
0.105983302	0.039472865
0.095798533	0.03569891
0.087289415	0.032464522
0.080177406	0.029685161
0.074234298	0.027290877
0.069273765	0.025223693
0.065143965	0.023435467
0.061721265	0.021886137
0.058905025	0.020542287
0.056613316	0.019375983
0.054779437	0.018363814
0.053349086	0.01748612
0.052278066	0.016726351
0.051530428	0.016070551
0.051076954	0.015506927
0.050893915	0.015025498
0.050962041	0.014617809
0.051265664	0.014276689
0.051791978	0.013996051
0.052530412	0.013770729
0.053472063	0.013596341
0.054609191	0.013469169
0.05593475	0.013386064
0.057441949	0.013344362
0.059123822	0.013341814
0.060972829	0.013376523
0.062980449	0.013446892
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
0.065136797	0.013551574
